metabolite,refmet_name,log2fc,p_value,fdr,sex,neg_log10_p
pc(40:4)>pc(20:0_20:4)_m+h2co2_feature3,pc(40:4)_ln_c,-0.3355928,0.01087775,1.0,male,1.9634609266633485
lpc(15:0/0:0)_and_lpc(0:0/15:0)_feature1and2,lpc(15:0)_lp_ab,0.43713045,0.01103672,1.0,male,1.9571599752980315
hydroxyindole acetate,5-hydroxyindoleacetic acid,-2.0043063,0.011213991,1.0,male,1.9502397967886127
urocanate,urocanic acid,-1.0769948,0.011532333,1.0,male,1.9380828257033167
pi(38:4)>pi(18:0_20:4)_feature3,pi(18:0_20:4)_ln_c,-0.24131118,0.011563057,1.0,male,1.9369273335004753
pc(35:3),pc(35:3),0.5562012,0.011594584,1.0,male,1.9357448287203003
pc(42:2)_feature1,pc(42:2)_lp_a,0.34680125,0.011691087,1.0,male,1.9321451076444054
sm(d42:2)_feature1,sm(d42:2)_lp_a,-0.6347218,0.012016363,1.0,female,1.9202269606232196
ce(18:2)_m+nh3_feature1,ce(18:2),0.36286628,0.01207228,1.0,male,1.9182107002499682
car(20:0),car(20:0),-0.52344126,0.012129979,1.0,male,1.916139951004162
lpe(16:0/0:0)_feature1and2,lpe(16:0)_lp_ab,0.35405663,0.01215861,1.0,male,1.9151160717602376
arginine,arginine,0.4675054,0.012217093,1.0,female,1.9130321201367748
tg(54:5)>tg(18:1_18:2_18:2)_and_tg(16:0_16:0_22:5)_and_tg(16:0_18:1_20:4)_feature5,tg(54:5)_lp_e,-0.46990493,0.012261694,1.0,male,1.9114495262262112
lpc(20:3)_feature1and2,lpc(20:3)_lp_ab,0.36092618,0.012451407,1.0,female,1.9047815708324616
n-carbamoyl-beta-alanine,ureidopropionic acid,-0.44129777,0.012468484,1.0,female,1.9041863476809326
NA,oxoglutaric acid,-0.3525127,0.012504993,1.0,male,1.9029165470412135
pe(40:6)_feature2,pe(40:6)_lp_b,-0.48346412,0.012781213,1.0,male,1.8934279275385075
pc(38:5)_feature2,pc(38:5)_lp_b,1.070686,0.01338971,1.0,male,1.8732288290196288
c18:1 sm,sm(d18:1/18:1),-0.41799977,0.013449271,1.0,female,1.8713012553833288
glycerol 3-phosphate,sn-glycero-3-phosphate,0.43910664,0.01347897,1.0,male,1.8703432932908404
NA,car(2:0),-0.45675084,0.013526997,1.0,male,1.868798606291028
n1-acetylspermidine,n1-acetylspermidine,-0.2619235,0.013919302,1.0,male,1.856382542394195
pc(40:7)_feature2,pc(40:7)_lp_b,0.5588534,0.013996273,1.0,male,1.8539875951090181
c18:1 lpc,lpc(18:1),0.24540819,0.014012299,1.0,male,1.8534906041073682
allantoin,allantoin,0.21387517,0.014171113,1.0,female,1.8485960389003224
lpc(23:0/0:0)_feature2,lpc(23:0/0:0)_lp_b,0.3368794,0.014353277,1.0,male,1.8430489337354796
NA,car(14:0),-0.30703878,0.01464111,1.0,male,1.834425996460635
NA,choline,0.23394531,0.014677777,1.0,female,1.8333397148381319
NA,car(14:1),-0.29406062,0.014695335,1.0,male,1.8328205091495096
NA,indolelactic acid,0.34104276,0.014852029,1.0,female,1.8282142114437459
sm(d40:1)_feature1,sm(d40:1)_lp_a,-0.61384624,0.015208831,1.0,female,1.817904165944385
pe(o-40:7)>pe(o-18:1/22:6)_and_pe(o-22:7/18:0)_feature6,pe(o-40:7)_ln_f,-0.22759712,0.015230536,1.0,male,1.8172848125046555
arginine,arginine,0.38641092,0.015459745,1.0,male,1.8107976738074882
lpc(20:5)_feature1and2,lpc(20:5)_ln_ab,0.48384082,0.015632542,1.0,female,1.8059703958253692
NA,car(18:1),-0.39194328,0.015809419,1.0,female,1.8010840902025431
pc(40:5)>pc(18:0_22:5)_m+h2co2_feature4,pc(18:0_22:5)_ln_d,-0.4661036,0.016107474,1.0,male,1.7929725610007465
thyroxine,thyroxine,-0.53958046,0.016134273,1.0,male,1.7922505988501958
c38:7 pc plasmalogen,pc(p-38:6)/pc(o-38:7),-0.21169065,0.016833276,1.0,female,1.7738313557847256
pi(36:3)_feature2,pi(36:3)_lp_b,0.39791092,0.016975442,1.0,female,1.77017890890832
sm(d42:1),sm(d42:1),0.8376762,0.017278036,1.0,male,1.762505625447312
lpc(24:2/0:0)_and_lpc(0:0/24:2)_feature1and2,lpc(24:2)_lp_ab,0.41904822,0.017422646,1.0,male,1.758885887449265
lpc(0:0/20:2)_feature1,lpc(0:0/20:2)_lp_a,0.4244592,0.017442692,1.0,female,1.7583864878367592
taurocholate_feature1,taurocholic acid,-1.5885589,0.017641984,1.0,female,1.7534525761315984
NA,car(12:1),-0.51038855,0.017809464,1.0,female,1.7493491510221695
tauro-alpha-muricholate + tauro-beta-muricholiate,tauromuricholic acid,-1.2136961,0.01789289,1.0,female,1.7473195079688726
c22:6 lpc,lpc(22:6),-0.32999876,0.017899452,1.0,male,1.7471602649429663
"gtinternalstandard_pi(33:1(d7))>pi(15:0/18:1(9z,d7))_[istd]","gtinternalstandard_pi(33:1(d7))>pi(15:0/18:1(9z,d7))_[istd]",0.4945942,0.01837159,1.0,female,1.735853255324899
cer(d34:1)_m+h2co2_feature1,cer(d34:1),-0.2804412,0.018488018,1.0,female,1.733109644698091
cer(d36:1)>cer(d18:1/18:0)_feature1,cer(d18:1/18:0),-0.64091045,0.018538646,1.0,male,1.7319219884332697
c18:2 lpe,lpe(18:2),0.38342637,0.018588807,1.0,male,1.730748481661259
NA,niacinamide,-0.22490177,0.0189278,1.0,female,1.7228998616508064
lpc(20:5)_feature1and2,lpc(20:5)_lp_ab,0.5879307,0.019063536,1.0,male,1.7197965411133396
pi(36:2)_feature2,pi(36:2)_lp_b,0.32683325,0.019085411,1.0,female,1.7192984831809488
tg(55:7)_m+nh3_feature2,tg(55:7)_lp_b,0.40549377,0.019455785,1.0,female,1.7109512416379062
