metabolite,refmet_name,log2fc,p_value,fdr,neg_log10_p
P-CRESOL SULFATE,p-Cresol sulfate,-0.10346127441658949,0.4616133798916535,0.5989715075667309,0.33572161161814085
Bilirubin,Bilirubin,-0.12622754898780922,0.46601146829545487,0.5991019056309095,0.33160339542127193
Vanillic acid,Vanillic acid,-0.08544481221754552,0.46621840024661,0.5991019056309095,0.331410590172213
Acetylcholine,Acetylcholine,-0.020126150075723808,0.47575615883686795,0.6044273328650822,0.32261558090420245
trans-3-Indoleacrylic acid,trans-3-Indoleacrylic acid,0.05753669592095973,0.47594955177929904,0.6044273328650822,0.322439077836172
L-Ergothioneine,Ergothioneine,-0.1601233398853207,0.47717947331453864,0.6044273328650822,0.32131824651461227
Homostachydrine,(S)-Homostachydrine,-0.025740912288358647,0.48771836100057886,0.6148487394604455,0.3118308943343457
Nonanoic acid,Pelargonic acid,0.10519462441959754,0.49917781296360575,0.6263268785298072,0.30174472605322167
Citraconic acid,Citraconic acid,0.09080267180071588,0.5202997510874684,0.6453215714729896,0.2837463818713376
LPC 20:3-SN1,LPC 20:3/0:0,-0.0422969091077424,0.5210632504876211,0.6453215714729896,0.2831095556439131
"1-(4-fluorobenzyl)-4,5-dihydro-1H-1,2,3,4-tetraazole-5-thione","1-(4-fluorobenzyl)-4,5-dihydro-1H-1,2,3,4-tetraazole-5-thione",-0.28614468157730705,0.5215945032582435,0.6453215714729896,0.2826669939962126
D(+)-Phenyllactic acid,L-3-Phenyllactic acid,-0.08940644282302096,0.5378512219066774,0.6623538195702602,0.2693378403943714
7-Methylguanine,7-Methylguanine,0.03378040066442062,0.5625481589167688,0.689575162543136,0.24984029231611288
PHOSPHOCHOLINE,Choline phosphate,-0.10877761102144583,0.5666862799190082,0.6907851589454911,0.24665730196516872
PE O-18:1_20:4,PE O-18:1/20:4,-0.0778253293235053,0.5687291346205359,0.6907851589454911,0.24509452332013051
Phenol sulfate,Phenyl hydrogen sulfate,-0.04836751207656788,0.5721557732312397,0.6917883439977716,0.24248571553452908
Gentisic acid,Gentisic acid,0.05007722899343448,0.5958810990653298,0.7120172386525796,0.22484038987612578
1-Methyluric acid,1-Methyluric acid,-0.0609513989749942,0.5968227325501619,0.7120172386525796,0.224154643254771
"4,4'-dimethoxy[1,1'-biphenyl]-2-carbonitrile","4,4'-dimethoxy[1,1'-biphenyl]-2-carbonitrile",-0.023270818900038803,0.5994661354809441,0.7120172386525796,0.2222353456579814
10-Propoxydecanoic acid,10-Propoxydecanoic acid,-0.17925548727447263,0.599593464128488,0.7120172386525796,0.22214310982709792
