metabolite,refmet_name,log2fc,p_value,fdr,platform,neg_log10_p
Tryptophan [metab-u-rpneg],Tryptophan,-0.378930968905415,6.8975348957248005e-15,8.10872541238024e-14,metab-u-rpneg,14.161306093678443
Hydroxydecanoic acid [metab-u-rpneg],Hydroxydecanoic acid,-0.494355146905566,7.154757716806101e-15,8.10872541238024e-14,metab-u-rpneg,14.145405068268389
DMGV [metab-u-hilicpos],DMGV,-0.428872086313,8.000897496841041e-15,9.33438041298122e-14,metab-u-hilicpos,14.096861293500156
1-Methyl nicotinamide [metab-u-hilicpos],1-Methyl nicotinamide,0.611018901950427,8.441716342521581e-15,9.530970064137271e-14,metab-u-hilicpos,14.073569245044359
TG(46:2) [metab-u-lrppos],TG(46:2),-0.580064861314533,1.02541058874245e-14,1.89097776218094e-13,metab-u-lrppos,13.989102202198259
Trigonelline [metab-u-hilicpos],Trigonelline,-0.588867359081821,1.48294386467133e-14,1.62196985198426e-13,metab-u-hilicpos,13.828875288435476
TG(54:1)>TG(18:0_18:0_18:1)_and_TG(16:1_18:0_20:0)_and_TG(16:0_18:0_20:1) [metab-u-lrppos],TG(54:1)>TG(18:0_18:0_18:1)_and_TG(16:1_18:0_20:0)_and_TG(16:0_18:0_20:1),-0.612391595013346,1.8185360655602102e-14,3.25777746601787e-13,metab-u-lrppos,13.740278081511404
TG(48:3)_isomer1 [metab-u-lrppos],TG(48:3)_isomer1,-0.446081520616836,2.2378750192005402e-14,3.89763232510762e-13,metab-u-lrppos,13.65016417159998
Methionine sulfoxide [metab-u-hilicpos],Methionine sulfoxide,-0.325779986985779,2.93442690701586e-14,3.0319253482741e-13,metab-u-hilicpos,13.53247670375989
TG 44:2 [metab-u-hilicpos],TG 44:2,-1.55482948977017,2.94529890975199e-14,3.0319253482741e-13,metab-u-hilicpos,13.530870623366392
LPE(18:1)>LPE(18:1/0:0) [metab-u-lrppos],LPE(18:1)>LPE(18:1/0:0),-0.33712095544827,4.3692144010568704e-14,7.404047106655819e-13,metab-u-lrppos,13.359596643568915
